run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,post_fall_excluded_sample_count,failed_attempt_retained,silently_relabelled
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,True,1733,1.7339999999998645,fallen_base_height,1267,True,False
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,False,,,,0,True,False
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,True,2153,2.1539999999998867,fallen_base_height,847,True,False
control_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,control,False,,,,0,True,False
positive_0p10_left_middle_native_strong_ice,pilot_pair_02,positive,False,,,,0,True,False
control_0p10_left_middle_native_strong_ice,pilot_pair_02,control,False,,,,0,True,False
positive_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,positive,False,,,,0,True,False
control_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,control,False,,,,0,True,False
positive_0p10_left_late_native_strong_ice,pilot_pair_04,positive,False,,,,0,True,False
control_0p10_left_late_native_strong_ice,pilot_pair_04,control,False,,,,0,True,False
positive_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,positive,False,,,,0,True,False
control_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,control,False,,,,0,True,False
positive_0p10_right_early_native_strong_ice,pilot_pair_06,positive,True,1406,1.4069999999999006,fallen_base_height,1594,True,False
control_0p10_right_early_native_strong_ice,pilot_pair_06,control,False,,,,0,True,False
positive_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,positive,True,1763,1.7639999999998612,fallen_base_height,1237,True,False
control_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,control,False,,,,0,True,False
positive_0p10_right_middle_native_strong_ice,pilot_pair_08,positive,False,,,,0,True,False
control_0p10_right_middle_native_strong_ice,pilot_pair_08,control,False,,,,0,True,False
positive_0p10_right_middle_moderate_ice_preregistered,pilot_pair_09,positive,False,,,,0,True,False
control_0p10_right_middle_moderate_ice_preregistered,pilot_pair_09,control,False,,,,0,True,False
positive_0p10_right_late_native_strong_ice,pilot_pair_10,positive,False,,,,0,True,False
control_0p10_right_late_native_strong_ice,pilot_pair_10,control,False,,,,0,True,False
positive_0p10_right_late_moderate_ice_preregistered,pilot_pair_11,positive,False,,,,0,True,False
control_0p10_right_late_moderate_ice_preregistered,pilot_pair_11,control,False,,,,0,True,False
positive_0p20_left_early_native_strong_ice,pilot_pair_12,positive,True,1607,1.6079999999998784,fallen_base_height,1393,True,False
control_0p20_left_early_native_strong_ice,pilot_pair_12,control,False,,,,0,True,False
positive_0p20_left_early_moderate_ice_preregistered,pilot_pair_13,positive,True,2278,2.2789999999999284,fallen_base_height,722,True,False
control_0p20_left_early_moderate_ice_preregistered,pilot_pair_13,control,False,,,,0,True,False
positive_0p20_left_middle_native_strong_ice,pilot_pair_14,positive,False,,,,0,True,False
control_0p20_left_middle_native_strong_ice,pilot_pair_14,control,False,,,,0,True,False
positive_0p20_left_middle_moderate_ice_preregistered,pilot_pair_15,positive,False,,,,0,True,False
control_0p20_left_middle_moderate_ice_preregistered,pilot_pair_15,control,False,,,,0,True,False
positive_0p20_left_late_native_strong_ice,pilot_pair_16,positive,False,,,,0,True,False
control_0p20_left_late_native_strong_ice,pilot_pair_16,control,False,,,,0,True,False
positive_0p20_left_late_moderate_ice_preregistered,pilot_pair_17,positive,False,,,,0,True,False
control_0p20_left_late_moderate_ice_preregistered,pilot_pair_17,control,False,,,,0,True,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,True,1369,1.3699999999999046,fallen_base_height,1631,True,False
control_0p20_right_early_native_strong_ice,pilot_pair_18,control,False,,,,0,True,False
positive_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,positive,True,1812,1.8129999999998558,fallen_orientation,1188,True,False
control_0p20_right_early_moderate_ice_preregistered,pilot_pair_19,control,False,,,,0,True,False
positive_0p20_right_middle_native_strong_ice,pilot_pair_20,positive,False,,,,0,True,False
control_0p20_right_middle_native_strong_ice,pilot_pair_20,control,False,,,,0,True,False
positive_0p20_right_middle_moderate_ice_preregistered,pilot_pair_21,positive,False,,,,0,True,False
control_0p20_right_middle_moderate_ice_preregistered,pilot_pair_21,control,False,,,,0,True,False
positive_0p20_right_late_native_strong_ice,pilot_pair_22,positive,False,,,,0,True,False
control_0p20_right_late_native_strong_ice,pilot_pair_22,control,False,,,,0,True,False
positive_0p20_right_late_moderate_ice_preregistered,pilot_pair_23,positive,False,,,,0,True,False
control_0p20_right_late_moderate_ice_preregistered,pilot_pair_23,control,False,,,,0,True,False
