run_id,pair_id,pair_index,role,block,calibration_arm,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,disposition,pair_fingerprint,patch,collision_geometry_sha256,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,fusion20_shape,finite_fusion20,first_patch_contact_sample,patch_active_contact_sample_count,intervention_configured_physics_steps,effective_patch_friction_mean,patch_base_double_contact_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,full_trace_sha256,discarded,replaced,silently_relabelled,development_only,g0_geometry_sha256,profile_calibration_only_do_not_train,training_use_assigned
cal_0p10_hard_control,v7_cal_group_0,0,control,profile_calibration,hard_control,0.1,left,mid_late_stance,profile_calibration,hard_normal,hard_normal,1,0.41,0.04,0.0,202608800,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,163eb2792181fcbb4277b23dbef9260117f538037557d7042bffb8329950b3bc,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,819dbe2897fc0edff285e24d326daa6ad5b917d89ba9ce61a611d397e81832b2,8fd2b23169c77be4990225ce3df6c7fed80d68afb14ee9da0913387260aa0c73,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1703,0,1.0,0,39,37,,,False,,0,ff85f3d6895bc0233bd52228172290312c362d9dd0ea9cdeb63cba77f63a3871,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_0p10_strong_reference,v7_cal_group_0,0,positive,profile_calibration,strong_reference,0.1,left,mid_late_stance,profile_calibration,native_strong_ice,multi_arm,1,0.41,0.04,0.0,202608800,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,163eb2792181fcbb4277b23dbef9260117f538037557d7042bffb8329950b3bc,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,819dbe2897fc0edff285e24d326daa6ad5b917d89ba9ce61a611d397e81832b2,8fd2b23169c77be4990225ce3df6c7fed80d68afb14ee9da0913387260aa0c73,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1664,533,0.8492788461538461,0,39,37,,,False,,0,f37f7151738e69b25cb94ee88b2d2cf073a015a3da89e07502c97220927b4d2d,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_0p10_M0,v7_cal_group_0,0,positive,profile_calibration,M0,0.1,left,mid_late_stance,profile_calibration,moderate_v1_M0,multi_arm,1,0.41,0.04,0.0,202608800,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,163eb2792181fcbb4277b23dbef9260117f538037557d7042bffb8329950b3bc,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,819dbe2897fc0edff285e24d326daa6ad5b917d89ba9ce61a611d397e81832b2,8fd2b23169c77be4990225ce3df6c7fed80d68afb14ee9da0913387260aa0c73,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1684,806,0.7862232779097387,0,39,37,,,False,,0,c7c5a18e34126b843b552c2ad673e2d2a1b44a5eaf565a5dd8afd799f2fa3e44,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_0p10_M1,v7_cal_group_0,0,positive,profile_calibration,M1,0.1,left,mid_late_stance,profile_calibration,moderate_v2_M1,multi_arm,1,0.41,0.04,0.0,202608800,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,163eb2792181fcbb4277b23dbef9260117f538037557d7042bffb8329950b3bc,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,819dbe2897fc0edff285e24d326daa6ad5b917d89ba9ce61a611d397e81832b2,8fd2b23169c77be4990225ce3df6c7fed80d68afb14ee9da0913387260aa0c73,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1723,854,0.7743905977945444,0,39,37,,,False,,0,44b21d29482ff41bfe72db459079a5db3ec32b100b2af60afe9ef9e6bcecde41,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_0p10_M2,v7_cal_group_0,0,positive,profile_calibration,M2,0.1,left,mid_late_stance,profile_calibration,moderate_v2_M2,multi_arm,1,0.41,0.04,0.0,202608800,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,163eb2792181fcbb4277b23dbef9260117f538037557d7042bffb8329950b3bc,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,819dbe2897fc0edff285e24d326daa6ad5b917d89ba9ce61a611d397e81832b2,8fd2b23169c77be4990225ce3df6c7fed80d68afb14ee9da0913387260aa0c73,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1713,538,0.8552831290134267,0,39,37,,,False,,0,62a98e0fd22d8146086d36b58a20d45f5f23fcfceb799a17fe85aedf7cdf376e,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_0p10_M3,v7_cal_group_0,0,positive,profile_calibration,M3,0.1,left,mid_late_stance,profile_calibration,moderate_v2_M3,multi_arm,1,0.41,0.04,0.0,202608800,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,163eb2792181fcbb4277b23dbef9260117f538037557d7042bffb8329950b3bc,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,819dbe2897fc0edff285e24d326daa6ad5b917d89ba9ce61a611d397e81832b2,8fd2b23169c77be4990225ce3df6c7fed80d68afb14ee9da0913387260aa0c73,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1719,523,0.8582024432809773,0,39,37,,,False,,0,1bbdde123ad31da1fda9ba81e426c24769c5afd16eb8746f1b4f8a4aa968e53e,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_0p15_hard_control,v7_cal_group_1,1,control,profile_calibration,hard_control,0.15,left,mid_late_stance,profile_calibration,hard_normal,hard_normal,1,0.41,0.04,0.0,202608801,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,08621b0d630de4d0c67d77746217d7f51d707196481c510f023e16b7faf35ba6,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,850a35d14896608c7ca25fff2b905f7d6c3e117d21416ecb6ac5b8119a71bebf,fcf2a8159ddc87ce4e4cf7615606d7a319f16d1f6df1f7693b461d83d241fbf6,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1686,0,1.0,0,39,37,,,False,,0,37b69b0c1586314bc5bc8ffd9d433337a9cd6576e075758c7dfe516d563c35a9,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_0p15_strong_reference,v7_cal_group_1,1,positive,profile_calibration,strong_reference,0.15,left,mid_late_stance,profile_calibration,native_strong_ice,multi_arm,1,0.41,0.04,0.0,202608801,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,08621b0d630de4d0c67d77746217d7f51d707196481c510f023e16b7faf35ba6,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,850a35d14896608c7ca25fff2b905f7d6c3e117d21416ecb6ac5b8119a71bebf,fcf2a8159ddc87ce4e4cf7615606d7a319f16d1f6df1f7693b461d83d241fbf6,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1708,469,0.8709601873536299,0,39,37,,,False,,0,7e0de57d3a3261a5e1cc183cd75c7ca321f7e26ef3cf6419d8d9b8d0db5a6760,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_0p15_M0,v7_cal_group_1,1,positive,profile_calibration,M0,0.15,left,mid_late_stance,profile_calibration,moderate_v1_M0,multi_arm,1,0.41,0.04,0.0,202608801,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,08621b0d630de4d0c67d77746217d7f51d707196481c510f023e16b7faf35ba6,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,850a35d14896608c7ca25fff2b905f7d6c3e117d21416ecb6ac5b8119a71bebf,fcf2a8159ddc87ce4e4cf7615606d7a319f16d1f6df1f7693b461d83d241fbf6,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1694,655,0.827331759149941,0,39,37,,,False,,0,781d566928c74de612ad4211668309922463724c466d60d48e813c8718497139,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_0p15_M1,v7_cal_group_1,1,positive,profile_calibration,M1,0.15,left,mid_late_stance,profile_calibration,moderate_v2_M1,multi_arm,1,0.41,0.04,0.0,202608801,3.0,PROFILE_CALIBRATION_ONLY_DO_NOT_TRAIN,08621b0d630de4d0c67d77746217d7f51d707196481c510f023e16b7faf35ba6,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,850a35d14896608c7ca25fff2b905f7d6c3e117d21416ecb6ac5b8119a71bebf,fcf2a8159ddc87ce4e4cf7615606d7a319f16d1f6df1f7693b461d83d241fbf6,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1712,721,0.8086521612149533,0,39,37,,,False,,0,2a1fd333f426e9bf5fedfb9f681f064f1949b04c5d19d0fa386c04cf5a069b18,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
