run_id,pair_id,role,target_foot,profile,effective_patch_friction_mean,target_tangential_force_peak_n,patch_active_contact_count,valid_efc_addresses
positive_0p10_left_early_native_strong_ice,pilot_pair_00,positive,left,native_strong_ice,0.049999999999999996,42.19352964977033,1403,True
control_0p10_left_early_native_strong_ice,pilot_pair_00,control,left,hard_control,1.0,111.10814856895499,1607,True
positive_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,positive,left,moderate_ice_preregistered,0.09999999999999999,78.22489383622319,404,True
control_0p10_left_early_moderate_ice_preregistered,pilot_pair_01,control,left,hard_control,1.0,111.15311673299085,1607,True
positive_0p10_left_middle_native_strong_ice,pilot_pair_02,positive,left,native_strong_ice,0.48754693366708396,568.4181439231758,1598,True
control_0p10_left_middle_native_strong_ice,pilot_pair_02,control,left,hard_control,1.0,111.40850366809683,1607,True
positive_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,positive,left,moderate_ice_preregistered,0.5404135338345865,627.481433171826,1596,True
control_0p10_left_middle_moderate_ice_preregistered,pilot_pair_03,control,left,hard_control,1.0,111.41843480622754,1607,True
positive_0p10_left_late_native_strong_ice,pilot_pair_04,positive,left,native_strong_ice,0.7386148007590133,172.04944807388205,1581,True
control_0p10_left_late_native_strong_ice,pilot_pair_04,control,left,hard_control,1.0,111.1225144627191,1607,True
positive_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,positive,left,moderate_ice_preregistered,0.7231210191082802,137.16484006057186,1570,True
control_0p10_left_late_moderate_ice_preregistered,pilot_pair_05,control,left,hard_control,1.0,110.92354933232025,1607,True
positive_0p10_right_early_native_strong_ice,pilot_pair_06,positive,right,native_strong_ice,0.05000000000000001,23.458726300130873,212,True
control_0p10_right_early_native_strong_ice,pilot_pair_06,control,right,hard_control,1.0,160.16993519743292,1805,True
positive_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,positive,right,moderate_ice_preregistered,0.1,49.38016016914455,262,True
control_0p10_right_early_moderate_ice_preregistered,pilot_pair_07,control,right,hard_control,1.0,160.1242102808951,1805,True
positive_0p10_right_middle_native_strong_ice,pilot_pair_08,positive,right,native_strong_ice,0.44446366782006924,466.1639586731292,1734,True
control_0p10_right_middle_native_strong_ice,pilot_pair_08,control,right,hard_control,1.0,160.09274674753914,1805,True
positive_0p10_right_middle_moderate_ice_preregistered,pilot_pair_09,positive,right,moderate_ice_preregistered,0.4362750716332378,676.5703152005951,1745,True
control_0p10_right_middle_moderate_ice_preregistered,pilot_pair_09,control,right,hard_control,1.0,160.116297984401,1805,True
positive_0p10_right_late_native_strong_ice,pilot_pair_10,positive,right,native_strong_ice,0.6237891737891738,160.09163866359341,1755,True
control_0p10_right_late_native_strong_ice,pilot_pair_10,control,right,hard_control,1.0,160.09163866359341,1805,True
positive_0p10_right_late_moderate_ice_preregistered,pilot_pair_11,positive,right,moderate_ice_preregistered,0.6733333333333332,160.17003010404355,1755,True
control_0p10_right_late_moderate_ice_preregistered,pilot_pair_11,control,right,hard_control,1.0,160.17003010404355,1805,True
