run_id,role,speed_mps,target_foot,target_phase,profile,seed,duration_s,sample_count,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,full_trace_sha256,first_patch_contact_sample,patch_active_contact_count,intervention_activation_physics_steps,effective_patch_friction_mean,target_tangential_force_peak_n,target_anchor_drift_max_m,target_physical_onset_sample,contralateral_physical_onset_sample,actual_first_affected_foot,contralateral_contamination,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,post_fall_excluded_sample_count,patch_base_double_contact_count,discarded,relabeled,retained,pair_id,severity,pair_parity_sha256,collision_geometry_sha256,actual_onset_phase,touchdown_to_onset_ms,valid_target_positive,air_event_counted,post_fall_event_counted,unique_pilot_run,replay_of,deterministic_replay_match
positive_0p10_left_early_native_strong_ice,positive,0.1,left,early,native_strong_ice,202608400,3.0,3000,ac2c76105cffd1c3347d13a33e74f2192b16cae1fea1d3f8d1797795184538c9,6dd3a1a51ea98420fde6a6de4c6907e390270030323c2625675671a1b3282ca7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,d26bc04a2079a21fea78754453d255462033da9b15fbf39b323c46cd460cd712,36,1403,6000,0.049999999999999996,42.19352964977033,0.09033136814832687,143,,left,False,False,,,,0,116,False,False,True,pilot_pair_00,native_strong_ice,e8bc966ae1fde15925c9b4e0a4d7dc04f10344bb32da628d8ae41633231f3720,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,early,108,True,False,False,True,,
control_0p10_left_early_native_strong_ice,control,0.1,left,early,hard_control,202608400,3.0,3000,ac2c76105cffd1c3347d13a33e74f2192b16cae1fea1d3f8d1797795184538c9,6dd3a1a51ea98420fde6a6de4c6907e390270030323c2625675671a1b3282ca7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,d3f4652726d429926bf4f754e26edade1dcf57441ebbfdab2c0bede0ed4b067f,36,1607,0,1.0,111.10814856895499,0.0020239155273884535,,,none,False,False,,,,0,0,False,False,True,pilot_pair_00,native_strong_ice,e8bc966ae1fde15925c9b4e0a4d7dc04f10344bb32da628d8ae41633231f3720,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,none,,False,False,False,True,,
positive_0p10_left_early_moderate_ice_preregistered,positive,0.1,left,early,moderate_ice_preregistered,202608401,3.0,3000,0b894d5d1ed0613433d5194fa0c70285a4fc4ac1d088f34e4eb2892caf93415e,14467d7b38ac3fdd363378128aa1c77311138b4c06d3e74bbd6e77d97f73688c,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,15d53bc4a41d92f461f760f391ba3a9c799ab14799a106126d335c7504ccabed,36,404,6000,0.09999999999999999,78.22489383622319,0.039326611906290054,,,none,False,False,,,,0,1,False,False,True,pilot_pair_01,moderate_ice_preregistered,3049ce21f9441da3f77127e7d62f21cf223ba327922b8978b9238601c520ace2,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,none,,False,False,False,True,,
control_0p10_left_early_moderate_ice_preregistered,control,0.1,left,early,hard_control,202608401,3.0,3000,0b894d5d1ed0613433d5194fa0c70285a4fc4ac1d088f34e4eb2892caf93415e,14467d7b38ac3fdd363378128aa1c77311138b4c06d3e74bbd6e77d97f73688c,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,2ba94591449244a6af16801504b464d0546f7e4fd47a84e920fae7959c156be7,36,1607,0,1.0,111.15311673299085,0.0020226489286869764,,,none,False,False,,,,0,0,False,False,True,pilot_pair_01,moderate_ice_preregistered,3049ce21f9441da3f77127e7d62f21cf223ba327922b8978b9238601c520ace2,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,none,,False,False,False,True,,
positive_0p10_left_middle_native_strong_ice,positive,0.1,left,middle,native_strong_ice,202608402,3.0,3000,ec2f95dd342238b1177afbe4c1eb461eace0c59b7f07a56b1f65ce2a22390e79,71b6a0a9c71a1bf575afa8cb2910003090b7cde6f2b161134283a8af05924099,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,7b138c43c3562efdcf28e3b513351209e3f67d92619e69f4a163ad7b5d8141f1,36,1598,1731,0.48754693366708396,568.4181439231758,0.03950939327478409,,,none,False,False,,,,0,215,False,False,True,pilot_pair_02,native_strong_ice,70d81f1621424ef71021b4ee99eff819dc87dd2d0bbf055cae43e7d1cbcd4311,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,none,,False,False,False,True,,
control_0p10_left_middle_native_strong_ice,control,0.1,left,middle,hard_control,202608402,3.0,3000,ec2f95dd342238b1177afbe4c1eb461eace0c59b7f07a56b1f65ce2a22390e79,71b6a0a9c71a1bf575afa8cb2910003090b7cde6f2b161134283a8af05924099,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3549dd2bf4232a4a3a31f6809c5ae76dd9ae1cf224bdb317e0b09ead86af76e2,36,1607,0,1.0,111.40850366809683,0.002016076585277915,,,none,False,False,,,,0,0,False,False,True,pilot_pair_02,native_strong_ice,70d81f1621424ef71021b4ee99eff819dc87dd2d0bbf055cae43e7d1cbcd4311,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,none,,False,False,False,True,,
positive_0p10_left_middle_moderate_ice_preregistered,positive,0.1,left,middle,moderate_ice_preregistered,202608403,3.0,3000,2fa43bc0a197c87830596e3472bf230f546170f2f2980f374bf5003fd4366cad,6b759c0fc8813da18a808498b5c094cc9b48be0ef1481ec85fec77979e3bbafc,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,a92214383e9ea42ef809638a2c3c2f537bb633e5e514e321a311b3fbc3485589,36,1596,1636,0.5404135338345865,627.481433171826,0.048091787844896317,,,none,False,False,,,,0,430,False,False,True,pilot_pair_03,moderate_ice_preregistered,fcc18fb39ce1761169da401eeae778d01437c563587006eea476c5f97f6d391d,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,none,,False,False,False,True,,
control_0p10_left_middle_moderate_ice_preregistered,control,0.1,left,middle,hard_control,202608403,3.0,3000,2fa43bc0a197c87830596e3472bf230f546170f2f2980f374bf5003fd4366cad,6b759c0fc8813da18a808498b5c094cc9b48be0ef1481ec85fec77979e3bbafc,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,729701958a8ac07617a75368301266ffd4bdf2c56fd38deafe4807c970e2d8bf,36,1607,0,1.0,111.41843480622754,0.0020158751867711544,,,none,False,False,,,,0,0,False,False,True,pilot_pair_03,moderate_ice_preregistered,fcc18fb39ce1761169da401eeae778d01437c563587006eea476c5f97f6d391d,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,none,,False,False,False,True,,
positive_0p10_left_late_native_strong_ice,positive,0.1,left,late,native_strong_ice,202608404,3.0,3000,310a4e3450e07422c8f6039ca4df5ecaf53aa9834e761c9736b3c73f707bfc24,5d6b4b784e0bd36849aaecbc6c812dab0fc1aca0b56baf774f0ad2f7e83973b7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,4e91a088711ad0ae1a08302e5b2bb2d347ee61d04eccd401d7afc098309067ce,36,1581,874,0.7386148007590133,172.04944807388205,0.05702720209956169,857,,left,False,False,,,,0,69,False,False,True,pilot_pair_04,native_strong_ice,3b58c3a9586de57d1e0adf797b6953d50abe711d46e6ba132d7e5f942053d1cc,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,late,294,True,False,False,True,,
control_0p10_left_late_native_strong_ice,control,0.1,left,late,hard_control,202608404,3.0,3000,310a4e3450e07422c8f6039ca4df5ecaf53aa9834e761c9736b3c73f707bfc24,5d6b4b784e0bd36849aaecbc6c812dab0fc1aca0b56baf774f0ad2f7e83973b7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,cd5c1eb0a9038e68f79c7c1b329e925ea17fc4a0abcbb98200af28191a02d6db,36,1607,0,1.0,111.1225144627191,0.0020235327538102865,,,none,False,False,,,,0,0,False,False,True,pilot_pair_04,native_strong_ice,3b58c3a9586de57d1e0adf797b6953d50abe711d46e6ba132d7e5f942053d1cc,485681f28830e695e89153a2346e3757ce2e81dd61b227c5ac3461ac32d393f9,none,,False,False,False,True,,
